备用字段,节点,数量,行为,资源名称,资源品质,活动类型,活动上线日期,活动下线日期,限时资源上线日期,限时资源到期日期,资源类型,价值,资源截图,季度,年份1,月,价值高低,月份,文本 4,父记录
奶龙墙皮活跃活动--目标达人,2025 奶龙联动,3,登录、对战、杀敌等综合行为,武器抽奖宝箱,其他,活跃,2025/06/11,2025/06/19,,,永久,40,image.png,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他武器抽奖宝箱,
奶龙墙皮活跃活动--目标达人,2025 奶龙联动,3,登录、对战、杀敌等综合行为,皮肤抽奖宝箱,其他,活跃,2025/06/11,2025/06/19,,,永久,40,image.png,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
木头人--登陆天数,2025 奶龙联动,1,登录1-3天,语音包,紫品（A+）,活跃,2025/06/12,2025/06/30,2025/06/12,2025/06/15,限时,,img_v3_02nb_05a16133-b561-4f18-8b4c-b5b4dddc2f3g.jpg,2025年年2季度,2025年,2025年6月,局外社交外显资源,6,紫品（A+）语音包,
木头人--登陆天数,2025 奶龙联动,1,登录1-3天,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/06/12,2025/06/30,,,限时,40,img_v3_02nb_05a16133-b561-4f18-8b4c-b5b4dddc2f3g.jpg,2025年年2季度,2025年,2025年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
木头人--登陆天数,2025 奶龙联动,1,登录1-3天,语音包,紫品（A+）,活跃,2025/06/12,2025/06/30,,,限时,,img_v3_02nb_05a16133-b561-4f18-8b4c-b5b4dddc2f3g.jpg,2025年年2季度,2025年,2025年6月,局外社交外显资源,6,紫品（A+）语音包,
木头人皮肤--游玩场次,2025 奶龙联动,1,玩3、7、20场,角色完整皮肤,紫品（A+）,活跃,2025/06/12,2025/06/30,2025/06/12,2025/06/15,限时,,image.png,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）角色完整皮肤,
木头人皮肤--游玩场次,2025 奶龙联动,1,玩3、7、20场,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/06/12,2025/06/30,,,限时,40,image.png,2025年年2季度,2025年,2025年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
国家队联动皮肤--目标达人,2025 奶龙联动,1,登录、对战、杀敌等综合行为,角色完整皮肤,蓝品（A）,活跃,2025/06/12,2025/06/19,,,永久,500,img_v3_02nb_8fb9c8f9-f220-4273-8f05-281937abbe7g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,蓝品（A）角色完整皮肤,
木头人皮肤--游玩场次,2025 奶龙联动,1,玩3、7、20场,角色完整皮肤,紫品（A+）,活跃,2025/06/12,2025/06/30,,,永久,1000,image.png,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）角色完整皮肤,
国家队联动皮肤--目标达人,2025 奶龙联动,2,登录、对战、杀敌等综合行为,金币抽奖盒,其他,活跃,2025/06/12,2025/06/19,,,永久,0,img_v3_02nb_8fb9c8f9-f220-4273-8f05-281937abbe7g.jpg,2025年年2季度,2025年,2025年6月,,6,其他金币抽奖盒,
国家队联动皮肤--目标达人,2025 奶龙联动,3,登录、对战、杀敌等综合行为,武器抽奖宝箱,其他,活跃,2025/06/12,2025/06/19,,,永久,40,img_v3_02nb_8fb9c8f9-f220-4273-8f05-281937abbe7g.jpg,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他武器抽奖宝箱,
国家队联动皮肤--目标达人,2025 奶龙联动,3,登录、对战、杀敌等综合行为,皮肤抽奖宝箱,其他,活跃,2025/06/12,2025/06/19,,,永久,40,img_v3_02nb_8fb9c8f9-f220-4273-8f05-281937abbe7g.jpg,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
国家队联动皮肤2--游玩时长,2025 奶龙联动,2,玩30、60、120分钟,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/06/13,2025/06/19,,,限时,40,img_v3_02nb_bec1fcca-e068-42cd-a723-d5086695fc7g.jpg,2025年年2季度,2025年,2025年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
国家队联动皮肤2--游玩时长,2025 奶龙联动,3,玩30、60、120分钟,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/06/13,2025/06/19,,,限时,40,img_v3_02nb_bec1fcca-e068-42cd-a723-d5086695fc7g.jpg,2025年年2季度,2025年,2025年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
国家队联动皮肤2--游玩时长,2025 奶龙联动,1,玩30、60、120分钟,角色皮肤散件,蓝品（A）,活跃,2025/06/13,2025/06/19,,,永久,200,img_v3_02nb_bec1fcca-e068-42cd-a723-d5086695fc7g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,蓝品（A）角色皮肤散件,
M1887-革新未来,2025 奶龙联动,1,代币转盘保底抽奖,枪械皮肤,红品（S+）,付费,2025/06/13,2025/07/06,,,永久,2400,img_v3_02nb_21126480-0658-4a91-b1fe-72e98422f1fg.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,红品（S+）枪械皮肤,
国家队联动皮肤2--游玩时长,2025 奶龙联动,2,玩30、60、120分钟,皮肤抽奖宝箱,其他,活跃,2025/06/13,2025/06/19,,,永久,40,img_v3_02nb_bec1fcca-e068-42cd-a723-d5086695fc7g.jpg,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
国家队联动皮肤3--好友同玩,2025 奶龙联动,3,与好友玩2、5、10局,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/06/16,2025/06/19,,,限时,40,img_v3_02nb_41cccac8-a37b-4288-bf6b-6fb4ad579c5g.jpg,2025年年2季度,2025年,2025年6月,抽奖券类资源,6,其他（蓝色）常驻抽奖池2--抽奖券,
拳头-雷電神拳,2025 奶龙联动,1,代币转盘保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/06/16,2025/07/22,,,永久,500,img_v3_02nb_505c47a9-8f62-4d74-a419-4d8b34fc387g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,橙品（S/SP）近战武器皮肤,
国家队联动皮肤3--好友同玩,2025 奶龙联动,2,与好友玩2、5、10局,武器抽奖宝箱,其他,活跃,2025/06/16,2025/06/19,,,永久,40,img_v3_02nb_41cccac8-a37b-4288-bf6b-6fb4ad579c5g.jpg,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他武器抽奖宝箱,
国家队联动皮肤3--好友同玩,2025 奶龙联动,2,与好友玩2、5、10局,角色皮肤散件,蓝品（A）,活跃,2025/06/16,2025/06/19,,,永久,200,img_v3_02nb_41cccac8-a37b-4288-bf6b-6fb4ad579c5g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,蓝品（A）角色皮肤散件,
禁区绷带皮肤,2025 奶龙联动,1,奇迹宝藏抽一少一保底抽奖,角色完整皮肤,紫品（A+）,付费,2025/06/18,2025/06/24,,,永久,1000,"img_v3_02nh_ba1de02d-9a59-4b0d-b3d8-2e2e577e755g.jpg,img_v3_02nh_ff92e7d9-52cb-4630-9ce1-ca76a4070d0g.jpg",2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）角色完整皮肤,
禁区绷带皮肤,2025 奶龙联动,1,奇迹宝藏抽一少一保底抽奖,动作,紫品（A+）,付费,2025/06/18,2025/06/24,,,永久,400,"img_v3_02nh_ba1de02d-9a59-4b0d-b3d8-2e2e577e755g.jpg,img_v3_02nh_ff92e7d9-52cb-4630-9ce1-ca76a4070d0g.jpg",2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）动作,
8周年主活跃活动,2025.06 8周年,1,登录、对战、杀敌等综合行为,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/06/20,2025/07/06,,,限时,40,image.png,2025年年2季度,2025年,2025年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
8周年组队活跃活动,2025.06 8周年,1,陌生人组队并参与局内特定玩法,墙皮,紫品（A+）,活跃,2025/06/20,2025/07/06,,,永久,400,image.png,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）墙皮,
8周年--杀敌次数&吃鸡次数,2025.06 8周年,1,登录、对战、杀敌等综合行为,近战武器皮肤,橙品（S/SP）,活跃,2025/06/20,2025/07/13,,,永久,500,image.png,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,橙品（S/SP）近战武器皮肤,
8周年主活跃活动,2025.06 8周年,1,登录、对战、杀敌等综合行为,死亡盒子,紫品（A+）,活跃,2025/06/20,2025/07/06,,,永久,100,image.png,2025年年2季度,2025年,2025年6月,局内--中低价值外显资源,6,紫品（A+）死亡盒子,
8周年主活跃活动,2025.06 8周年,1,登录、对战、杀敌等综合行为,语音包,紫品（A+）,活跃,2025/06/20,2025/07/06,,,永久,0,image.png,2025年年2季度,2025年,2025年6月,局外社交外显资源,6,紫品（A+）语音包,
8周年主活跃活动,2025.06 8周年,1,登录、对战、杀敌等综合行为,背景卡（名片）,紫品（A+）,活跃,2025/06/20,2025/07/06,,,永久,0,image.png,2025年年2季度,2025年,2025年6月,局外社交外显资源,6,紫品（A+）背景卡（名片）,
8周年主活跃活动,2025.06 8周年,1,登录、对战、杀敌等综合行为,角色完整皮肤,紫品（A+）,活跃,2025/06/20,2025/07/06,,,永久,1000,image.png,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）角色完整皮肤,
累充,2025.06 8周年,5,充140钻,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2025/06/21,2025/06/28,,,限时,40,img_v3_02nh_5042342c-13d1-48cd-bea1-4fbe5bc9b48g.jpg,2025年年2季度,2025年,2025年6月,抽奖券类资源,6,其他（橙色）常驻3合1抽奖池--抽奖券,
8周年活跃活动--游玩场次,2025.06 8周年,1,游玩2、8、18场,近战武器皮肤,紫品（A+）,活跃,2025/06/21,2025/06/28,,,永久,400,image.png,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）近战武器皮肤,
8周年活跃活动--游玩场次,2025.06 8周年,1,游玩2、8、18场,载具,紫品（A+）,活跃,2025/06/21,2025/06/28,,,永久,400,image.png,2025年年2季度,2025年,2025年6月,局内--中低价值外显资源,6,紫品（A+）载具,
累充,2025.06 8周年,1,充70钻,角色皮肤散件,紫品（A+）,付费,2025/06/21,2025/06/28,,,永久,400,img_v3_02nh_5042342c-13d1-48cd-bea1-4fbe5bc9b48g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）角色皮肤散件,
累充,2025.06 8周年,12,充24钻,钻石,其他,付费,2025/06/21,2025/06/28,,,永久,1,img_v3_02nh_5042342c-13d1-48cd-bea1-4fbe5bc9b48g.jpg,2025年年2季度,2025年,2025年6月,,6,其他钻石,
8周年活跃活动--游玩场次,2025.06 8周年,500,游玩2、8、18场,金币抽奖盒,其他,活跃,2025/06/21,2025/06/28,,,永久,0,image.png,2025年年2季度,2025年,2025年6月,,6,其他金币抽奖盒,
近战武器皮肤,2025.06 8周年,1,奇迹宝藏抽一少一保底抽奖,近战武器皮肤,紫品（A+）,付费,2025/06/23,2025/06/29,,,永久,400,img_v3_02nh_16b286ce-0fc6-413f-a9d0-beafb83c9a7g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）近战武器皮肤,
近战武器皮肤,2025.06 8周年,1,奇迹宝藏抽一少一保底抽奖,墙皮,紫品（A+）,付费,2025/06/23,2025/06/29,,,永久,400,img_v3_02nh_16b286ce-0fc6-413f-a9d0-beafb83c9a7g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）墙皮,
8周年活跃活动--游玩场次,2025.06 8周年,1,登录、对战、杀敌等综合行为,枪械皮肤,紫品（A+）,活跃,2025/06/25,2025/07/06,,,永久,1000,image.png,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,紫品（A+）枪械皮肤,
FFWS SEA --衬衫登录领取,2025.06 8周年,1,登录,角色皮肤散件,蓝品（A）,活跃,2025/06/25,2025/07/26,,,永久,200,img_v3_02no_1c231d72-ef4b-4d26-a954-36d8b972952g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,蓝品（A）角色皮肤散件,
8周年动作,2025.06 8周年,1,代币转盘保底抽奖,动作,橙品（S/SP）,付费,2025/06/25,2025/07/06,,,永久,500,img_v3_02no_0d41923d-bba8-4a75-8bae-f8bb2178034g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,橙品（S/SP）动作,
8周年活跃活动--游玩场次,2025.06 8周年,2,登录、对战、杀敌等综合行为,金币抽奖盒,其他,活跃,2025/06/25,2025/07/06,,,永久,0,image.png,2025年年2季度,2025年,2025年6月,,6,其他金币抽奖盒,
8周年活跃活动--游玩场次,2025.06 8周年,3,登录、对战、杀敌等综合行为,武器抽奖宝箱,其他,活跃,2025/06/25,2025/07/06,,,永久,40,image.png,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他武器抽奖宝箱,
8周年活跃活动--游玩场次,2025.06 8周年,3,登录、对战、杀敌等综合行为,皮肤抽奖宝箱,其他,活跃,2025/06/25,2025/07/06,,,永久,40,image.png,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
8周年皮肤,2025.06 8周年,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/06/27,2025/07/10,,,永久,2000,img_v3_02no_0b5d1026-0757-45ce-90c4-2c92114b433g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,橙品（S/SP）角色完整皮肤,
8周年皮肤,2025.06 8周年,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/06/27,2025/07/10,,,永久,2000,img_v3_02no_0b5d1026-0757-45ce-90c4-2c92114b433g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,橙品（S/SP）角色完整皮肤,
累充,2025.06 8周年,10,充140钻,当期限时抽奖活动--抽奖券,其他,付费,2025/06/28,2025/07/05,,,限时,8,img_v3_02no_7e6afb96-6afe-4bb5-bab9-1c8f7fde222g.jpg,2025年年2季度,2025年,2025年6月,抽奖券类资源,6,其他当期限时抽奖活动--抽奖券,
累充,2025.06 8周年,1,充70钻,飞行器,橙品（S/SP）,付费,2025/06/28,2025/07/05,,,永久,500,img_v3_02no_7e6afb96-6afe-4bb5-bab9-1c8f7fde222g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,橙品（S/SP）飞行器,
累充,2025.06 8周年,12,充24钻,钻石,其他,付费,2025/06/28,2025/07/05,,,永久,1,img_v3_02no_7e6afb96-6afe-4bb5-bab9-1c8f7fde222g.jpg,2025年年2季度,2025年,2025年6月,,6,其他钻石,
8周年活跃活动--游玩排位模式,2025.06 8周年,1,登录、对战、杀敌等综合行为,金币抽奖盒,其他,活跃,2025/06/30,2025/07/06,,,永久,0,img_v3_02no_84d87cf4-6246-43ca-b069-b925eddc10eg.jpg,2025年年2季度,2025年,2025年6月,,6,其他金币抽奖盒,
钱如雨下,2025.06 8周年,1,必中轮盘抽一少一保底抽奖,动作,红品（S+）,付费,2025/06/30,2025/07/06,,,永久,1000,img_v3_02no_44ad6803-76b8-4c64-9ae1-6912eeac344g.jpg,2025年年2季度,2025年,2025年6月,局内--高价值外显资源,6,红品（S+）动作,
8周年活跃活动--游玩排位模式,2025.06 8周年,3,登录、对战、杀敌等综合行为,武器抽奖宝箱,其他,活跃,2025/06/30,2025/07/06,,,永久,40,img_v3_02no_84d87cf4-6246-43ca-b069-b925eddc10eg.jpg,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他武器抽奖宝箱,
8周年活跃活动--游玩排位模式,2025.06 8周年,3,登录、对战、杀敌等综合行为,皮肤抽奖宝箱,其他,活跃,2025/06/30,2025/07/06,,,永久,40,img_v3_02no_84d87cf4-6246-43ca-b069-b925eddc10eg.jpg,2025年年2季度,2025年,2025年6月,盲盒类资源,6,其他皮肤抽奖宝箱,
8周年活跃活动--游玩排位模式,2025.06 8周年,50,登录、对战、杀敌等综合行为,魔方碎片,其他,活跃,2025/06/30,2025/07/06,,,永久,,img_v3_02no_84d87cf4-6246-43ca-b069-b925eddc10eg.jpg,2025年年2季度,2025年,2025年6月,,6,其他魔方碎片,
8周年活跃活动--杀敌次数,2025.06 8周年,1,杀5、12、20个人,载具,紫品（A+）,活跃,2025/07/02,2025/07/05,,,永久,400,img_v3_02no_58a6cc02-a7fb-48ed-b87e-7a151ea10f2g.jpg,2025年年3季度,2025年,2025年7月,局内--中低价值外显资源,7,紫品（A+）载具,
P90-璀金云魂,2025.06 8周年,1,代币转盘保底抽奖,枪械皮肤,红品（S+）,付费,2025/07/02,2025/08/01,,,永久,2400,img_v3_02nv_6244043a-9489-413f-92be-202011839c8g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,红品（S+）枪械皮肤,
8周年活跃活动--杀敌次数,2025.06 8周年,2,杀5、12、20个人,武器抽奖宝箱,其他,活跃,2025/07/02,2025/07/05,,,永久,40,img_v3_02no_58a6cc02-a7fb-48ed-b87e-7a151ea10f2g.jpg,2025年年3季度,2025年,2025年7月,盲盒类资源,7,其他武器抽奖宝箱,
8周年活跃活动--杀敌次数,2025.06 8周年,500,杀5、12、20个人,金币抽奖盒,其他,活跃,2025/07/02,2025/07/05,,,永久,0,img_v3_02no_58a6cc02-a7fb-48ed-b87e-7a151ea10f2g.jpg,2025年年3季度,2025年,2025年7月,,7,其他金币抽奖盒,
编号皮肤-璀金组合包,2025.06 8周年,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/07/04,2025/07/17,,,永久,2000,"img_v3_02nv_418ec423-8e1a-49a9-afde-88ab24444efg.jpg,img_v3_02nv_323dabfb-4e9e-42f5-8e4a-c142035b367g.jpg,img_v3_02nv_2e546e37-af2e-4781-a3ee-d3194822df4g.jpg",2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）角色完整皮肤,
编号皮肤-璀金组合包,2025.06 8周年,1,代币转盘保底抽奖,角色完整皮肤,橙品（S/SP）,付费,2025/07/04,2025/07/17,,,永久,2000,"img_v3_02nv_418ec423-8e1a-49a9-afde-88ab24444efg.jpg,img_v3_02nv_323dabfb-4e9e-42f5-8e4a-c142035b367g.jpg,img_v3_02nv_2e546e37-af2e-4781-a3ee-d3194822df4g.jpg",2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）角色完整皮肤,
累充,2025.06 8周年,5,充70钻,当期限时抽奖活动--抽奖券,其他,付费,2025/07/05,2025/07/12,,,限时,8,img_v3_02nv_2a99f46e-04d4-4bc4-a552-33298d6c9dag.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他当期限时抽奖活动--抽奖券,
累充,2025.06 8周年,1,充140钻,死亡盒子,橙品（S/SP）,付费,2025/07/05,2025/07/12,,,永久,150,img_v3_02nv_2a99f46e-04d4-4bc4-a552-33298d6c9dag.jpg,2025年年3季度,2025年,2025年7月,局内--中低价值外显资源,7,橙品（S/SP）死亡盒子,
累充,2025.06 8周年,12,充24钻,钻石,其他,付费,2025/07/05,2025/07/12,,,永久,1,img_v3_02nv_2a99f46e-04d4-4bc4-a552-33298d6c9dag.jpg,2025年年3季度,2025年,2025年7月,,7,其他钻石,
8周年活跃活动--主活跃,2025.06 8周年,1,登录、对战、杀敌等综合行为,金币抽奖盒,其他,活跃,2025/07/07,2025/07/17,,,永久,0,image.png,2025年年3季度,2025年,2025年7月,,7,其他金币抽奖盒,
8周年活跃活动--主活跃,2025.06 8周年,1,登录、对战、杀敌等综合行为,动作,蓝品（A）,活跃,2025/07/07,2025/07/17,,,永久,300,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,蓝品（A）动作,
璀璨登录,2025.06 8周年,1,必中轮盘抽一少一保底抽奖,动作,橙品（S/SP）,付费,2025/07/07,2025/07/20,,,永久,500,img_v3_02nv_616aed8b-cdaa-4434-ad75-19795dcff7ag.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）动作,
8周年活跃活动--主活跃,2025.06 8周年,3,登录、对战、杀敌等综合行为,武器抽奖宝箱,其他,活跃,2025/07/07,2025/07/17,,,永久,40,image.png,2025年年3季度,2025年,2025年7月,盲盒类资源,7,其他武器抽奖宝箱,
8周年活跃活动--主活跃,2025.06 8周年,3,登录、对战、杀敌等综合行为,皮肤抽奖宝箱,其他,活跃,2025/07/07,2025/07/17,,,永久,40,image.png,2025年年3季度,2025年,2025年7月,盲盒类资源,7,其他皮肤抽奖宝箱,
8周年活跃活动--游玩场次,2025.06 8周年,3,游玩2、8、12、20、28场次,语音包,紫品（A+）,活跃,2025/07/09,2025/07/18,2025/07/11,2025/08/10,限时,,image.png,2025年年3季度,2025年,2025年7月,局外社交外显资源,7,紫品（A+）语音包,
8周年活跃活动--游玩场次,2025.06 8周年,2,游玩2、8、12、20、28场次,武器抽奖宝箱,其他,活跃,2025/07/09,2025/07/18,,,永久,40,image.png,2025年年3季度,2025年,2025年7月,盲盒类资源,7,其他武器抽奖宝箱,
8周年活跃活动--游玩场次,2025.06 8周年,500,游玩2、8、12、20、28场次,金币抽奖盒,其他,活跃,2025/07/09,2025/07/18,,,永久,0,image.png,2025年年3季度,2025年,2025年7月,,7,其他金币抽奖盒,
神秘商店,2025.06 8周年,1,折扣商店直售,角色完整皮肤,紫品（A+）,付费,2025/07/11,2025/07/20,,,永久,1000,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色完整皮肤,
神秘商店,2025.06 8周年,1,折扣商店直售,角色完整皮肤,紫品（A+）,付费,2025/07/11,2025/07/20,,,永久,1000,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色完整皮肤,
神秘商店,2025.06 8周年,1,折扣商店直售,动作,橙品（S/SP）,付费,2025/07/11,2025/07/20,,,永久,500,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）动作,
神秘商店,2025.06 8周年,1,折扣商店直售,动作,橙品（S/SP）,付费,2025/07/11,2025/07/20,,,永久,500,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）动作,
神秘商店,2025.06 8周年,1,折扣商店直售,近战武器皮肤,橙品（S/SP）,付费,2025/07/11,2025/07/20,,,永久,500,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）近战武器皮肤,
累充,2025.06 8周年,1,充70钻,背包,紫品（A+）,付费,2025/07/12,2025/07/19,,,永久,200,image.png,2025年年3季度,2025年,2025年7月,局内--中低价值外显资源,7,紫品（A+）背包,
累充,2025.06 8周年,2,充140钻,武器抽奖宝箱,其他,付费,2025/07/12,2025/07/19,,,永久,40,image.png,2025年年3季度,2025年,2025年7月,盲盒类资源,7,其他武器抽奖宝箱,
累充,2025.06 8周年,24,充24钻,钻石,其他,付费,2025/07/12,2025/07/19,,,永久,1,image.png,2025年年3季度,2025年,2025年7月,,7,其他钻石,
武士刀-湛蓝,2025.06 8周年,1,莫科商店抽一少一保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/07/13,2025/07/19,,,永久,500,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）近战武器皮肤,
武士刀-湛蓝,2025.06 8周年,1,莫科商店抽一少一保底抽奖,近战武器皮肤,橙品（S/SP）,付费,2025/07/13,2025/07/19,,,永久,500,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）近战武器皮肤,
8周年活跃活动--游玩场次,2025.06 8周年,2,游玩5、12、20局,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2025/07/14,2025/07/18,,,限时,40,image.png,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（蓝色）常驻抽奖池2--抽奖券,
8周年活跃活动--游玩场次,2025.06 8周年,1,游玩5、12、20局,死亡盒子,橙品（S/SP）,活跃,2025/07/14,2025/07/18,,,永久,150,image.png,2025年年3季度,2025年,2025年7月,局内--中低价值外显资源,7,橙品（S/SP）死亡盒子,
美好时光-动作,2025.06 8周年,1,必中轮盘抽一少一保底抽奖,动作,橙品（S/SP）,付费,2025/07/14,2025/07/20,,,永久,500,image.png,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,橙品（S/SP）动作,
8周年活跃活动--游玩场次,2025.06 8周年,500,游玩5、12、20局,金币抽奖盒,其他,活跃,2025/07/14,2025/07/18,,,永久,0,image.png,2025年年3季度,2025年,2025年7月,,7,其他金币抽奖盒,
M590-拼贴艺术,2025.06 8周年,1,必中轮盘抽一少一保底抽奖,枪械皮肤,紫品（A+）,付费,2025/07/16,2025/07/22,,,永久,1000,img_v3_02od_68f6f87a-c7b0-40a2-98f8-459887defc1g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）枪械皮肤,
M590-拼贴艺术,2025.06 8周年,1,必中轮盘抽一少一保底抽奖,墙皮,紫品（A+）,付费,2025/07/16,2025/07/22,,,永久,400,img_v3_02od_68f6f87a-c7b0-40a2-98f8-459887defc1g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）墙皮,
鱿鱼游戏-登录天数,2025.07 鱿鱼游戏,1,登录1-4天,枪械皮肤,蓝品（A）,活跃,2025/07/18,2025/07/22,2025/07/19,2025/07/22,限时,,img_v3_02od_9539a5b2-b0e9-4946-b14a-cbb29c1427eg.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,蓝品（A）枪械皮肤,
鱿鱼游戏-主活跃活动,2025.07 鱿鱼游戏,2,登录、对战、杀敌等综合行为,语音包,紫品（A+）,活跃,2025/07/18,2025/07/27,,,限时,,img_v3_02od_59c5a979-e60c-4e04-b817-4cd17a364a1g.jpg,2025年年3季度,2025年,2025年7月,局外社交外显资源,7,紫品（A+）语音包,
鱿鱼游戏-登录天数,2025.07 鱿鱼游戏,5,登录1-4天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2025/07/18,2025/07/22,,,限时,40,img_v3_02od_9539a5b2-b0e9-4946-b14a-cbb29c1427eg.jpg,2025年年3季度,2025年,2025年7月,抽奖券类资源,7,其他（橙色）常驻3合1抽奖池--抽奖券,
鱿鱼游戏-登录天数,2025.07 鱿鱼游戏,1,登录1-4天,背景卡（名片）,紫品（A+）,活跃,2025/07/18,2025/07/22,,,永久,0,img_v3_02od_9539a5b2-b0e9-4946-b14a-cbb29c1427eg.jpg,2025年年3季度,2025年,2025年7月,局外社交外显资源,7,紫品（A+）背景卡（名片）,
鱿鱼游戏-主活跃活动,2025.07 鱿鱼游戏,1,登录、对战、杀敌等综合行为,角色完整皮肤,紫品（A+）,活跃,2025/07/18,2025/07/27,,,永久,1000,img_v3_02od_59c5a979-e60c-4e04-b817-4cd17a364a1g.jpg,2025年年3季度,2025年,2025年7月,局内--高价值外显资源,7,紫品（A+）角色完整皮肤,
鱿鱼游戏-主活跃活动,2025.07 鱿鱼游戏,1,登录、对战、杀敌等综合行为,死亡盒子,紫品（A+）,活跃,2025/07/18,2025/07/27,,,永久,100,img_v3_02od_59c5a979-e60c-4e04-b817-4cd17a364a1g.jpg,2025年年3季度,2025年,2025年7月,局内--中低价值外显资源,7,紫品（A+）死亡盒子,
